"dataset_id","originalScientificName","n_interpreted","interpreted","aphiaids","url"
"287f44a3-d5b7-4efb-8708-809d1a5323ae","Microglyphis hasegawai",4,"Dutkevitchia devexa;Microglyphis hasegawai;Ringiculoides vityazi;Synpeachia","1048759;1048760;1048761;1048762","http://ipt.iobis.org/obis-deepsea/resource?r=deep-sea_biodiversity_benthos_beneficial"
"287f44a3-d5b7-4efb-8708-809d1a5323ae","Polycope",2,"Polycope;Polycopsis","127561;127562","http://ipt.iobis.org/obis-deepsea/resource?r=deep-sea_biodiversity_benthos_beneficial"
"7bd0e1a6-dc41-4e1e-abe7-0eec0dd92317","Thalassoma bifasciatum",5,"Celleporella hyalina;Etelis;Etelis oculatus;Schizobrachiella stylifera;Thalassoma bifasciatum","111397;159786;159788;159789;423734","http://ipt.iobis.org/obis-deepsea/resource?r=fish_and_benthic_data_around_bermuda"
"e41b934e-93fd-4c1d-8957-a4e9defeb2c4","Undet",2,"Hyperiidae;Oedicerotidae","101400;101417","http://ipt.iobis.org/obis-deepsea/resource?r=thedeepwaterprogram"
"e41b934e-93fd-4c1d-8957-a4e9defeb2c4","Undet.",4,"Animalia;Caprellidae;Oedicerotidae;Pardaliscidae","2;101361;101400;101401","http://ipt.iobis.org/obis-deepsea/resource?r=thedeepwaterprogram"
"0aec9db9-0a11-43fa-b5c9-1508daffc1b7","Acropora florida",2,"Acropora florida;Ctenactis echinata","207058;216132","http://ipt.iobis.org/obis-malaysia/resource?r=cnidariansinmalaysia"
"0aec9db9-0a11-43fa-b5c9-1508daffc1b7","Ctenactis echinata",2,"Ctenactis echinata;Faviidae","196099;216132","http://ipt.iobis.org/obis-malaysia/resource?r=cnidariansinmalaysia"
"0aec9db9-0a11-43fa-b5c9-1508daffc1b7","Diploastrea heliopora",2,"Echinophyllia aspera;Faviidae","196099;207370","http://ipt.iobis.org/obis-malaysia/resource?r=cnidariansinmalaysia"
"0aec9db9-0a11-43fa-b5c9-1508daffc1b7","Goniastrea retiformis",2,"Goniastrea retiformis;Pavona frondifera","207307;207461","http://ipt.iobis.org/obis-malaysia/resource?r=cnidariansinmalaysia"
"0aec9db9-0a11-43fa-b5c9-1508daffc1b7","Hydnophora",2,"Faviidae;Pectinia","196099;205685","http://ipt.iobis.org/obis-malaysia/resource?r=cnidariansinmalaysia"
"0aec9db9-0a11-43fa-b5c9-1508daffc1b7","Litophyton",3,"Corallimorpharia;Litophyton;Pocilloporidae","1362;135079;204523","http://ipt.iobis.org/obis-malaysia/resource?r=cnidariansinmalaysia"
"0aec9db9-0a11-43fa-b5c9-1508daffc1b7","Lobophyllia",2,"Hydnophora;Sarcophyton","204976;205483","http://ipt.iobis.org/obis-malaysia/resource?r=cnidariansinmalaysia"
"0aec9db9-0a11-43fa-b5c9-1508daffc1b7","Montipora",2,"Acroporidae;Montipora","196095;203834","http://ipt.iobis.org/obis-malaysia/resource?r=cnidariansinmalaysia"
"0aec9db9-0a11-43fa-b5c9-1508daffc1b7","Pavona frondifera",3,"Acropora florida;Cycloseris mokai;Pavona frondifera","207058;207307;716299","http://ipt.iobis.org/obis-malaysia/resource?r=cnidariansinmalaysia"
"0aec9db9-0a11-43fa-b5c9-1508daffc1b7","Plerogyra sinuosa",2,"Euphyllia;Plerogyra sinuosa","206703;207498","http://ipt.iobis.org/obis-malaysia/resource?r=cnidariansinmalaysia"
"0aec9db9-0a11-43fa-b5c9-1508daffc1b7","Sarcophyton",5,"Hydnophora;Lobophyllia;Poritidae;Sarcophyton;Sinularia","196105;204976;205310;205483;205854","http://ipt.iobis.org/obis-malaysia/resource?r=cnidariansinmalaysia"
"0aec9db9-0a11-43fa-b5c9-1508daffc1b7","Sinularia",4,"Litophyton;Lobophyllia;Sarcophyton;Sinularia","204523;205310;205483;205854","http://ipt.iobis.org/obis-malaysia/resource?r=cnidariansinmalaysia"
"a71b7b9f-5e64-42cb-9acd-af86c507bc20","Planiliza subviridis",2,"Dichotomyctere nigroviridis;Planiliza subviridis","1021870;1043426","http://ipt.iobis.org/obis-malaysia/resource?r=rrccollection"
"4b3c7211-bb96-4373-9ddf-73424e92c882","Phyllodoce",2,"Phyllodoce;Velella","117200;129455","http://ipt.iobis.org/obiscanada/resource?r=biochem_issungnak_partb"
"7e4228e5-a962-4b01-952f-7bf33e213a9c","Actinopterygii",2,"Actinopterygii;Osteichthyes","10194;152352","http://ipt.iobis.org/obiscanada/resource?r=dfo_biochem_sameoto"
"7e4228e5-a962-4b01-952f-7bf33e213a9c","Phronima sedentaria",2,"Phronima atlantica;Phronima sedentaria","103271;103272","http://ipt.iobis.org/obiscanada/resource?r=dfo_biochem_sameoto"
"7e4228e5-a962-4b01-952f-7bf33e213a9c","Themisto gaudichaudi",2,"Themisto compressa;Themisto gaudichaudii","156451;325384","http://ipt.iobis.org/obiscanada/resource?r=dfo_biochem_sameoto"
"18e4fa5b-5f92-4e09-957b-b242003287e9","Lycodes lavalaei",2,"Lycodes lavalaei;Lycodes reticulatus","127107;127112","http://ipt.iobis.org/obiscanada/resource?r=dfo_que_dutil_fishdb"
"3423c536-23ac-4fbf-9633-97cc911778d3","#REF!",10,"Ammodytes;Ampharetidae;Axius;Cryptacanthodes;Cyclopterus;Geukensia;Owenia fusiformis;Priapulus caudatus;Raja;Ulvaria subbifurcata","981;101160;105766;107067;125909;126158;130544;156857;159674;159821","http://ipt.iobis.org/obiscanada/resource?r=northumberland_trawl"
"3423c536-23ac-4fbf-9633-97cc911778d3","Astarte",2,"Ascidia;Astarte","103483;137683","http://ipt.iobis.org/obiscanada/resource?r=northumberland_trawl"
"3423c536-23ac-4fbf-9633-97cc911778d3","Maldanidae",2,"Maldanidae;Molgulidae","923;103448","http://ipt.iobis.org/obiscanada/resource?r=northumberland_trawl"
"d648e5d9-4b4e-46a1-90b6-0fe8380ada2e","Oncorhynchus kisutch",2,"Oncorhynchus keta;Oncorhynchus kisutch","127183;127184","http://ipt.iobis.org/obiscanada/resource?r=rickerbeam"
"49b938b5-2d5a-43c0-92f9-26354f189f82","Navicula",2,"Arca;Navicula","137670;149142","http://ipt.iobis.org/wsaobis/resource?r=ufpe_oceanography_zooplankton_research"
"d1001fdc-d4a2-4d01-bcd2-2e122f2ca537","Genus and species indet.",3,"Chaetodermatidae;Prochaetodermatidae;Pruvotinidae","2089;23102;23105","http://ipt.obis.org/nonode/resource?r=biogomx"
"9b787218-7138-4ffa-8ba6-36d63d391f8c","Diplodus sargus",4,"Diplodus cadenati;Diplodus helenae;Diplodus lineatus;Diplodus sargus","127053;305182;998228;998232","http://ipt.obis.org/nonode/resource?r=fishbase_occurrence"
"9b787218-7138-4ffa-8ba6-36d63d391f8c","Paraliparis copei",3,"Paraliparis copei;Paraliparis kerguelensis;Paraliparis wilsoni","159530;220974;234698","http://ipt.obis.org/nonode/resource?r=fishbase_occurrence"
"9b787218-7138-4ffa-8ba6-36d63d391f8c","Plagiotremus laudandus",2,"Plagiotremus flavus;Plagiotremus laudandus","293706;712832","http://ipt.obis.org/nonode/resource?r=fishbase_occurrence"
"9b787218-7138-4ffa-8ba6-36d63d391f8c","Stomias boa",3,"Stomias boa;Stomias colubrinus;Stomias ferox","127374;306767;306769","http://ipt.obis.org/nonode/resource?r=fishbase_occurrence"
